source,domain,chart,region,country,continent,date,position,title,artist,url,scraped_at,city,track_id,album,popularity,energy,danceability,valence,tempo,loudness,acousticness,instrumentalness,speechiness,liveness
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Thunderous,Stray Kids,,2025-11-28T03:10:11.431570,,,NOEASY,71,0.786,0.601,0.79,172.156,-3.706,0.213,0.0,0.234,0.209
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,STEREOTYPE,STAYC,,2025-11-28T03:10:11.431570,,,STEREOTYPE,60,0.805,0.605,0.738,148.298,-3.212,0.313,0.0,0.0641,0.659
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,On The Ground,ROSÉ,,2025-11-28T03:10:11.431570,,,R,67,0.607,0.311,0.286,188.7,-6.578,0.0174,0.0,0.11,0.131
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Gone,ROSÉ,,2025-11-28T03:10:11.431570,,,R,67,0.377,0.647,0.653,79.936,-6.003,0.594,0.0,0.0375,0.0768
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,ONLY,LeeHi,,2025-11-28T03:10:11.431570,,,4 ONLY,78,0.296,0.536,0.151,122.907,-7.451,0.892,0.0,0.0346,0.0873
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,LOCO,ITZY,,2025-11-28T03:10:11.431570,,,CRAZY IN LOVE,66,0.886,0.759,0.489,102.065,-3.067,0.0103,2.04e-05,0.187,0.342
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Romantic Sunday,"CAR, THE GARDEN",,2025-11-28T03:10:11.431570,,,"Hometown Cha-Cha-Cha, Pt. 1 (Original Television Soundtrack)",53,0.661,0.651,0.762,118.017,-7.322,0.488,0.00422,0.026,0.315
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,The Feels,TWICE,,2025-11-28T03:10:11.431570,,,Formula of Love: O+T=<3,74,0.903,0.808,0.922,120.044,-2.179,0.0899,0.0,0.0729,0.0816
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Savage,aespa,,2025-11-28T03:10:11.431570,,,Savage - The 1st Mini Album,66,0.879,0.727,0.671,146.959,-1.167,0.124,1.17e-05,0.129,0.244
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,XOXO,JEON SOMI,,2025-11-28T03:10:11.431570,,,XOXO,54,0.611,0.703,0.527,144.991,-6.376,0.0705,0.0,0.0313,0.133
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Hot Sauce,NCT DREAM,,2025-11-28T03:10:11.431570,,,Hot Sauce - The 1st Album,61,0.926,0.769,0.551,100.034,-1.627,0.0127,0.0,0.0788,0.285
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,SCIENTIST,TWICE,,2025-11-28T03:10:11.431570,,,Formula of Love: O+T=<3,61,0.858,0.786,0.649,112.999,-3.74,0.0487,0.0,0.0675,0.126
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,ELEVEN,IVE,,2025-11-28T03:10:11.431570,,,ELEVEN,69,0.731,0.828,0.587,119.978,-3.033,0.0617,0.0,0.111,0.048
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,ZOO,TAEYONG、JENO、HENDERY、YANGYANG、GISELLE,,2025-11-28T03:10:11.431570,,,2021 Winter SMTOWN : SMCU EXPRESS,60,0.923,0.823,0.629,122.922,-2.875,0.127,0.0,0.158,0.0571
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Berlín,Aitana,,2025-11-28T03:10:11.431570,,,Berlín,52,0.81,0.788,0.891,153.936,-3.136,0.0656,0.000465,0.0736,0.283
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Tujhe Kitna Chahne Lage,Arijit Singh,,2025-11-28T03:10:11.431570,,,Kabir Singh,79,0.397,0.395,0.303,70.568,-7.556,0.735,0.0,0.0368,0.11
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,"Mann Bharryaa 2.0 (From ""Shershaah"")",B. Praak,,2025-11-28T03:10:11.431570,,,"Mann Bharryaa 2.0 (From ""Shershaah"")",67,0.467,0.428,0.193,90.831,-4.904,0.68,0.0,0.0327,0.135
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Lover,Diljit Dosanjh,,2025-11-28T03:10:11.431570,,,MoonChild Era,72,0.587,0.827,0.774,119.936,-5.531,0.203,0.0,0.113,0.0727
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Bijlee Bijlee,Harrdy Sandhu,,2025-11-28T03:10:11.431570,,,Bijlee Bijlee,68,0.67,0.795,0.643,100.004,-5.313,0.269,0.0,0.143,0.0733
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Friendships (Lost My Love) [feat. Leony!],Pascal Letoublon,,2025-11-28T03:10:11.431570,,,Friendships,,0.78,0.726,0.0742,119.984,-6.312,0.137,0.914,0.0414,0.0985
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Merry Christmas Everyone,Shakin' Stevens,,2025-11-28T03:10:11.431570,,,Merry Christmas Everyone,88,0.904,0.534,0.96,202.899,-3.315,0.129,0.0,0.0369,0.128
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Molly,SELMON、Bausa,,2025-11-28T03:10:11.431570,,,Molly,46,0.679,0.817,0.349,154.972,-6.469,0.0256,3.51e-06,0.174,0.0719
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Alone With You,Arz,,2025-11-28T03:10:11.431570,,,Mega Hits Autumn/Fall 2022,62,0.374,0.768,0.398,75.503,-12.49,0.288,1.67e-06,0.723,0.111
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Better Days,Dermot Kennedy,,2025-11-28T03:10:11.431570,,,Better Days,68,0.553,0.68,0.352,99.999,-7.116,0.409,0.0,0.042,0.0847
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,TENGO FE,Feid,,2025-11-28T03:10:11.431570,,,Esto No Se Le Dedica A Cualquiera,62,0.571,0.757,0.538,159.933,-4.547,0.264,8.97e-06,0.0906,0.313
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,SI TÚ SUPIERAS (Bonus Track),Feid,,2025-11-28T03:10:11.431570,,,Esto No Se Le Dedica A Cualquiera,71,0.664,0.673,0.586,174.972,-5.382,0.376,0.0,0.177,0.111
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,AMOR DE MI VIDA,Feid,,2025-11-28T03:10:11.431570,,,Esto No Se Le Dedica A Cualquiera,68,0.674,0.735,0.561,171.883,-5.629,0.18,0.0,0.124,0.108
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Never Going Home,Kungs,,2025-11-28T03:10:11.431570,,,pov: it's 2021,64,0.842,0.839,0.96,122.028,-4.703,0.0868,0.0981,0.0392,0.0548
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,La vie qu'on mène,Ninho,,2025-11-28T03:10:11.431570,,,Destin,74,0.756,0.8,0.456,113.204,-4.4,0.687,2.06e-06,0.0367,0.111
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Le monde est méchant,Niska,,2025-11-28T03:10:11.431570,,,RAP MUSCULATION RENTRÉE 2022,39,0.571,0.938,0.783,135.023,-8.507,0.08,0.0,0.314,0.146
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,Jefe,Ninho,,2025-11-28T03:10:11.431570,,,Jefe,67,0.599,0.648,0.213,120.985,-8.611,0.474,6.81e-06,0.0799,0.121
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,VVS,Ninho,,2025-11-28T03:10:11.431570,,,Jefe,65,0.61,0.751,0.525,167.983,-8.368,0.337,0.0,0.485,0.11
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,2055,Sleepy Hallow,,2025-11-28T03:10:11.431570,,,Still Sleep?,76,0.512,0.829,0.638,80.511,-5.865,0.492,0.0,0.187,0.12
top25_research_paper,research_paper,top25_cities,global,,,2022-01-19,1,I GUESS I'M IN LOVE,Clinton Kane,,2025-11-28T03:10:11.431570,,,I GUESS I'M IN LOVE,66,0.34,0.422,0.223,77.213,-6.577,0.877,1.77e-05,0.0351,0.149
