x,y,cluster,lon,lat
628.0,2771.0,cluster_1_grey,-103.52,-245.47391304347826
1612.3182373046875,990.5,cluster_1_grey,53.97091796875,-20.97608695652174
2183.5,943.0,cluster_1_grey,145.36,-14.986956521739131
2048.0,930.2142944335938,cluster_1_grey,123.68,-13.37484581988791
2220.0,913.0,cluster_1_grey,151.2,-11.20434782608696
865.5,928.0,cluster_1_grey,-65.52,-13.095652173913038
804.5,936.0,cluster_1_grey,-75.28,-14.10434782608695
2026.5,886.5,cluster_1_grey,120.24000000000001,-7.863043478260863
1928.0,874.0,cluster_1_grey,104.48000000000002,-6.286956521739128
1379.5,842.5,cluster_1_grey,16.72,-2.315217391304344
2156.0,791.5,cluster_1_grey,140.95999999999998,4.115217391304341
2227.0,770.5,cluster_1_grey,152.32,6.763043478260869
2064.5,791.5,cluster_1_grey,126.32,4.115217391304341
1485.8482666015625,777.455078125,cluster_1_grey,33.735722656250005,5.886098845108691
1445.0,749.0,cluster_1_grey,27.19999999999999,9.473913043478262
1932.5,796.5,cluster_1_grey,105.19999999999999,3.484782608695653
2020.0,749.0,cluster_1_grey,119.19999999999999,9.473913043478262
1927.0,722.0,cluster_1_grey,104.32,12.878260869565224
1884.0,716.5,cluster_1_grey,97.44,13.571739130434779
1852.5,711.0,cluster_1_grey,92.39999999999998,14.265217391304347
2097.5,703.0,cluster_1_grey,131.60000000000002,15.27391304347826
1979.5,702.5,cluster_1_grey,112.72000000000003,15.336956521739125
2077.5,697.5,cluster_1_grey,128.39999999999998,15.967391304347828
1935.5,687.0,cluster_1_grey,105.68,17.291304347826085
2046.0,706.0,cluster_1_grey,123.36000000000001,14.89565217391305
1951.0,686.5,cluster_1_grey,108.16000000000003,17.35434782608695
986.5,741.0,cluster_1_grey,-46.16,10.482608695652175
1815.1092529296875,685.3741455078125,cluster_1_grey,86.41748046875,17.496303392493203
2004.0,695.5,cluster_1_grey,116.63999999999999,16.219565217391306
1910.5,678.5,cluster_1_grey,101.68,18.363043478260863
938.0473022460938,669.3648681640625,cluster_1_grey,-53.912431640625,19.51486444887908
1941.5,663.7000122070312,cluster_1_grey,106.63999999999999,20.229128895635185
1785.0,668.0,cluster_1_grey,81.60000000000002,19.686956521739134
1864.925537109375,657.1595458984375,cluster_1_grey,94.38808593750002,21.05379638671875
1921.270751953125,622.9713134765625,cluster_1_grey,103.4033203125,25.364486561650814
1674.5,622.5,cluster_1_grey,63.91999999999999,25.423913043478258
1888.27783203125,611.7222290039062,cluster_1_grey,98.124453125,26.782849386463994
1916.176513671875,605.941162109375,cluster_1_grey,102.58824218749999,27.511766516644023
838.3630981445312,744.7446899414062,cluster_1_grey,-69.861904296875,10.010452137822696
1919.5,596.0,cluster_1_grey,103.12,28.765217391304347
677.0,573.0,cluster_1_grey,-95.68,31.665217391304346
840.8125,562.0,cluster_1_grey,-69.47,33.052173913043475
781.5,563.1363525390625,cluster_1_grey,-78.96,32.90889467985734
805.5,556.5,cluster_1_grey,-75.12,33.745652173913044
334.56060791015625,554.3485107421875,cluster_1_grey,-150.470302734375,34.01692690641984
733.5,584.5,cluster_1_grey,-86.64,30.21521739130435
767.5,543.5,cluster_1_grey,-81.2,35.38478260869565
1890.5,511.5,cluster_1_grey,98.48000000000002,39.4195652173913
608.5,524.5,cluster_1_grey,-106.64,37.780434782608694
1973.0,463.5,cluster_1_grey,111.68,45.471739130434784
738.5,463.5,cluster_1_grey,-85.84,45.471739130434784
1405.5,454.5,cluster_1_grey,20.879999999999995,46.606521739130436
1358.0,454.0,cluster_1_grey,13.280000000000001,46.6695652173913
649.5,483.5,cluster_1_grey,-100.08,42.95
772.0,468.5,cluster_1_grey,-80.48,44.84130434782609
725.0,446.5,cluster_1_grey,-88.0,47.61521739130435
621.9545288085938,421.0,cluster_1_grey,-104.487275390625,50.8304347826087
2017.0,415.0,cluster_1_grey,118.72000000000003,51.58695652173913
514.5,421.0,cluster_1_grey,-121.68,50.8304347826087
1268.0,412.0,cluster_1_grey,-1.1200000000000045,51.96521739130435
795.8421020507812,413.8947448730469,cluster_1_grey,-76.665263671875,51.7263147768767
2019.0,395.5,cluster_1_grey,119.04000000000002,54.04565217391304
1215.0,397.0,cluster_1_grey,-9.599999999999994,53.856521739130436
1286.0,614.0,cluster_1_grey,1.759999999999991,26.495652173913044
1295.0,415.0,cluster_1_grey,3.1999999999999886,51.58695652173913
2031.3037109375,386.2289733886719,cluster_1_grey,121.00859374999999,55.21460770316746
845.6200561523438,374.7255554199219,cluster_1_grey,-68.700791015625,56.66503866444464
859.5,342.5,cluster_1_grey,-66.48,60.72826086956522
715.0,339.9375,cluster_1_grey,-89.6,61.05135869565217
1188.5,325.0,cluster_1_grey,-13.840000000000003,62.934782608695656
785.5,304.0,cluster_1_grey,-78.32,65.58260869565217
468.0,309.5,cluster_1_grey,-129.12,64.8891304347826
851.0526123046875,301.631591796875,cluster_1_grey,-67.83158203125,65.88123407778532
1943.770263671875,297.39190673828125,cluster_1_grey,107.0032421875,66.41580306343411
573.9000244140625,305.5,cluster_1_grey,-112.17599609375,65.39347826086956
822.0999755859375,297.5,cluster_1_grey,-72.46400390625,66.40217391304347
2120.5,309.0,cluster_1_grey,135.27999999999997,64.95217391304348
758.0,308.0,cluster_1_grey,-82.72,65.07826086956521
1172.0,307.0,cluster_1_grey,-16.47999999999999,65.20434782608696
1824.5,305.0,cluster_1_grey,87.92000000000002,65.45652173913044
1289.1666259765625,287.1666564941406,cluster_1_grey,2.2666601562499977,67.70507374639097
