index,source_title,source_artist,spotify_name,spotify_artists,track_id,matches,reason
42,Mercy,Brett Young,Mercy,Brett Young,2VIPU72L6tIR4w8J8ap6Kp,True,Perfect match
43,Uma Thurman,Fall Out Boy,Uma Thurman,Fall Out Boy,5PUawWFG1oIS2NwEcyHaCr,True,Perfect match
44,Country Girl (Shake It For Me),Luke Bryan,Country Girl (Shake It For Me),Luke Bryan,0JbSghVDghtFEurrSO8JrC,True,Perfect match
45,Mistletoe,Justin Bieber,Mistletoe,Justin Bieber,7xapw9Oy21WpfEcib2ErSA,True,Perfect match
46,Alive,Krewella,Alive,Krewella,59mrqUmhpmcfUns8BKkV30,True,Perfect match
47,Want To Want Me,Jason Derulo,Want to Want Me,Jason Derulo,7oGZAicScQt96OAW4AruYy,True,Perfect match
48,Dirty Dancer,Enrique Iglesias With Usher Featuring Lil Wayne,Dirty Dancer,Enrique Iglesias;Usher,,True,Perfect match
49,Highway Don't Care,Tim McGraw With Taylor Swift,Highway Don't Care,Tim McGraw;Taylor Swift;Keith Urban,,True,Perfect match
50,Wherever I Go,OneRepublic,Wherever I Go,OneRepublic,46jLy47W8rkf8rEX04gMKB,True,Perfect match
51,I Really Like You,Carly Rae Jepsen,I Really Like You,Carly Rae Jepsen,1mKXfxIOA7eQQJ844OFm7L,True,Perfect match
52,Girl Crush,Little Big Town,Girl Crush,Little Big Town,11qh54D0PKkBwelpDxxiEU,True,Perfect match
53,Good Time,Niko Moon,GOOD TIME,Niko Moon,2S8UMuLJ0z8agFgFGJ6Ztt,True,Perfect match
54,Thriller,Michael Jackson,Thriller,Michael Jackson,2LlQb7Uoj1kKyGhlkBf9aC,True,Perfect match
55,Gooba,6ix9ine,GOOBA,6ix9ine,2zvDnNLW4yZ4a0YcGiOEBX,True,Perfect match
56,H.O.L.Y.,Florida Georgia Line,H.O.L.Y.,Florida Georgia Line,0BCy325UZyR9z0t0uxwn2N,True,Perfect match
57,Bulletproof,La Roux,Bulletproof,La Roux,3kMrazSvILsgcwtidZd1Qd,True,Perfect match
58,I Need A Doctor,Dr. Dre Featuring Eminem & Skylar Grey,I Need A Doctor,Dr. Dre;Eminem;Skylar Grey,,True,Perfect match
59,Beautiful Now,Zedd Featuring Jon Bellion,Beautiful Now,Zedd;Jon Bellion,51tGeVhhW7S3HCXMaZSUzK,True,Perfect match
60,Who Do You Love,The Chainsmokers Featuring 5 Seconds of Summer,Who Do You Love,The Chainsmokers;5 Seconds of Summer,,True,Perfect match
61,Tequila,Dan + Shay,Tequila,Dan + Shay,42fw0rxRO2xbesF6mJfd4Y,True,Perfect match
62,Nightmare,Avenged Sevenfold,Nightmare,Avenged Sevenfold,4UEo1b0wWrtHMC8bVqPiH8,True,Perfect match
63,Heaven,Kane Brown,Heaven,Kane Brown,1HXy5I3HTWq8OvxCn0z7G7,True,Perfect match
64,Do Re Mi,Blackbear,do re mi,blackbear,6Se3x9ANMLv0dCDsjGmEjh,True,Perfect match
65,Tonight Tonight,Hot Chelle Rae,Tonight Tonight,Hot Chelle Rae,2i0AUcEnsDm3dsqLrFWUCq,True,Perfect match
66,Roses,The Chainsmokers Featuring ROZES,Roses,The Chainsmokers;ROZES,,True,Perfect match
67,Never Be The Same,Camila Cabello,Never Be the Same,Camila Cabello,4eWQlBRaTjPPUlzacqEeoQ,True,Perfect match
68,Felices Los 4,Maluma,Felices los 4,Maluma,1RouRzlg8OKFeqc6LvdxmB,True,Perfect match
69,Paris,The Chainsmokers,Paris,The Chainsmokers,72jbDTw1piOOj770jWNeaG,True,Perfect match
70,Back To You,Selena Gomez,Back To You,Selena Gomez,4hQ6UGyWQIGJmHSo0J88JW,True,Perfect match
71,I Won't Give Up,Jason Mraz,I Won't Give Up,Jason Mraz,5ivF4eQBqJiVL5IAE9jRyl,True,Perfect match
72,My Church,Maren Morris,My Church,Maren Morris,1LM5zQv5pBKPyO7rm7Uz6U,True,Perfect match
73,El Amante,Nicky Jam,El Amante,Nicky Jam,3umS4y3uQDkqekNjVpiRUs,True,Perfect match
74,Jack Sparrow,The Lonely Island Featuring Michael Bolton,Jack Sparrow,The Lonely Island;Michael Bolton,,True,Perfect match
75,Harlem Shake,Baauer,Harlem Shake,Baauer,01XFgRZfZI7oBagNf1Loml,True,Perfect match
76,"Beamer, Benz, Or Bentley",Lloyd Banks Featuring Juelz Santana,"Beamer, Benz, Or Bentley",Lloyd Banks;Juelz Santana,,True,Perfect match
77,This Afternoon,Nickelback,This Afternoon,Nickelback,1RG8MABX0VciDk6WYb8pBv,True,Perfect match
78,Rope,Foo Fighters,Rope,Foo Fighters,7v0mtl6oInUtHOmTk2b0gC,True,Perfect match
79,Roses,Saint Jhn,Roses,SAINt JHN,24Yi9hE78yPEbZ4kxyoXAI,True,Perfect match
80,The Cave,Mumford & Sons,The Cave,Mumford & Sons,2F79HavLHwJlfvvJOkkIQD,True,Perfect match
81,I Like It,Enrique Iglesias Featuring Pitbull,I Like It,Enrique Iglesias;Pitbull,,True,Perfect match
82,Worth It,Fifth Harmony Featuring Kid Ink,Worth It,Fifth Harmony,,True,Perfect match
83,Love Runs Out,OneRepublic,Love Runs Out,OneRepublic,3cOO5IQtOYs7huq4Z6lYfr,True,Perfect match
84,One Dance,Drake Featuring Wizkid & Kyla,One Dance,Drake;Wizkid;Kyla,,True,Perfect match
85,I Want You To Know,Zedd Featuring Selena Gomez,I Want You To Know,Zedd;Selena Gomez,,True,Perfect match
86,Lights,Ellie Goulding,Lights,Ellie Goulding,0LRCcpSgeozipxPpRg5wzx,True,Perfect match
87,High School,Nicki Minaj Featuring Lil Wayne,High School,Nicki Minaj;Lil Wayne,,True,Perfect match
88,Now Or Never,Halsey,Now Or Never,Halsey,126oeltvIg79HHP4yAi4rq,True,Perfect match
89,Talking Body,Tove Lo,Talking Body,Tove Lo,7cgu4JBW3hq1GwTM1ilkKQ,True,Perfect match
90,"Gone, Gone, Gone",Phillip Phillips,"Gone, Gone, Gone",Phillip Phillips,56sxN1yKg1dgOZXBcAHkJG,True,Perfect match
91,Rumour Has It,Adele,Rumour Has It,Adele,5mFMb5OHI3cN0UjITVztCj,True,Perfect match
92,All The Right Moves,OneRepublic,All The Right Moves,OneRepublic,5XRHGXut00SrJUFmcn2lQF,True,Perfect match
93,Nightmare,Halsey,Nightmare,Halsey,12ZCF1YHZTtygHyl1h0wEe,True,Perfect match
94,Zombie,Bad Wolves,Zombie,Bad Wolves,5d8Wq39QLT6OQWsY9paz5n,True,Perfect match
95,Girls Chase Boys,Ingrid Michaelson,Girls Chase Boys,Ingrid Michaelson,3tInTDUq8wdIMw5ftohmqJ,True,Perfect match
96,Scars To Your Beautiful,Alessia Cara,Scars To Your Beautiful,Alessia Cara,0wI7QkCcs8FUQE1OkXUIqd,True,Perfect match
97,Truth Hurts,Lizzo,Truth Hurts,Lizzo,3HWzoMvoF3TQfYg4UPszDq,True,Perfect match
98,Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn,Diamond Rings And Old Barstools,Tim McGraw;Catherine Dunn,,True,Perfect match
99,Uptown Funk!,Mark Ronson Featuring Bruno Mars,Uptown Funk (feat. Bruno Mars),Mark Ronson;Bruno Mars,,False,Artist matches but title differs: 'Uptown Funk!' vs 'Uptown Funk (feat. Bruno Mars)'
100,Mood,24kGoldn Featuring iann dior,Mood (feat. iann dior),24kGoldn;iann dior,,False,Artist matches but title differs: 'Mood' vs 'Mood (feat. iann dior)'
101,Bam Bam,Camila Cabello Featuring Ed Sheeran,Bam Bam (feat. Ed Sheeran),Camila Cabello;Ed Sheeran,,False,Artist matches but title differs: 'Bam Bam' vs 'Bam Bam (feat. Ed Sheeran)'
102,Wait For U,Future Featuring Drake & Tems,WAIT FOR U (feat. Drake & Tems),Future;Drake;Tems,,False,Artist matches but title differs: 'Wait For U' vs 'WAIT FOR U (feat. Drake & Tems)'
103,Starboy,The Weeknd,Starboy,The Weeknd;Daft Punk,7MXVkk9YMctZqd1Srtv4MB,True,Perfect match
104,Running Up That Hill (A Deal With God),Kate Bush,Running Up That Hill (A Deal With God),Kate Bush,1PtQJZVZIdWIYdARpZRDFO,True,Perfect match
105,Jimmy Cooks,Drake Featuring 21 Savage,Jimmy Cooks (feat. 21 Savage),Drake;21 Savage,,False,Artist matches but title differs: 'Jimmy Cooks' vs 'Jimmy Cooks (feat. 21 Savage)'
106,ily,Surf Mesa Featuring Emilee,ily (i love you baby),Surf Mesa;Emilee,,False,Artist matches but title differs: 'ily' vs 'ily (i love you baby)'
107,Intentions,Justin Bieber Featuring Quavo,Intentions,Justin Bieber;Quavo,,True,Perfect match
108,Godzilla,Eminem Featuring Juice WRLD,Godzilla (feat. Juice WRLD),Eminem;Juice WRLD,,False,Artist matches but title differs: 'Godzilla' vs 'Godzilla (feat. Juice WRLD)'
109,Chained To The Rhythm,Katy Perry Featuring Skip Marley,Chained To The Rhythm,Katy Perry;Skip Marley,,True,Perfect match
110,Latch,Disclosure Featuring Sam Smith,Latch,Disclosure;Sam Smith,,True,Perfect match
111,Wiggle,Jason Derulo Featuring Snoop Dogg,Wiggle,Jason Derulo;Snoop Dogg,,True,Perfect match
112,Dark Horse,Katy Perry Featuring Juicy J,Dark Horse,Katy Perry;Juicy J,,True,Perfect match
113,Clarity,Zedd Featuring Foxes,Clarity,Zedd;Foxes,,True,Perfect match
114,Way Out,Jack Harlow Featuring Big Sean,Way Out,Jack Harlow;Big Sean,,True,Perfect match
115,2step,Ed Sheeran Featuring Lil Baby,2step,Ed Sheeran;Lil Baby,,True,Perfect match
