track_name,artists,peak_position,first_chart_date,last_chart_date,n_chart_appearances,n_distinct_charts,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,playlistname,peak_charts
Whatever It Takes,Imagine Dragons,17,2017-06-03,2018-06-02,2,1,Evolve,81,201240,False,0.672,0.655,10,-5.021,0,0.0311,0.0362,0.0,0.117,0.556,134.945,4,rock,,hot-100
When You're Gone,Shawn Mendes,69,2022-07-02,2022-07-02,1,1,Autumn Vibes 2022,0,172266,False,0.605,0.713,5,-5.865,1,0.0381,0.0203,0.0,0.548,0.603,147.166,4,dance,,hot-100
Where Them Girls At (feat. Nicki Minaj & Flo Rida),David Guetta,61,2011-06-04,2011-06-04,1,1,Nothing but the Beat (Ultimate Edition),73,194840,True,0.666,0.876,3,-3.078,1,0.0414,0.055,0.0,0.259,0.552,129.884,4,edm,,hot-100
Wherever I Go,OneRepublic,67,2016-06-04,2016-06-04,1,1,Oh My My (Deluxe),70,169773,False,0.552,0.689,10,-6.444,0,0.0425,0.0915,0.0,0.27,0.349,99.961,4,piano,,hot-100
Whiskey Glasses,Morgan Wallen,26,2019-06-01,2019-06-01,1,1,If I Know Me,81,234346,False,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,4,country,,hot-100
Whiskey and Rain,Michael Ray,64,2022-01-01,2022-01-01,1,1,Easy Country,0,206986,False,0.653,0.623,8,-4.56,1,0.0244,0.505,3.61e-06,0.279,0.718,100.021,4,country,,hot-100
Who Do You Love,The Chainsmokers;5 Seconds of Summer,73,2019-06-01,2019-06-01,1,1,World War Joy,72,226733,True,0.51,0.846,3,-4.595,1,0.0461,0.0101,0.0,0.208,0.475,139.927,4,dance,,hot-100
Who Says,Selena Gomez & The Scene,35,2011-06-04,2011-06-04,1,1,When The Sun Goes Down,77,195613,False,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019,4,dance,,hot-100
Wiggle,Jason Derulo;Snoop Dogg,10,2014-06-07,2014-06-07,1,1,Pop Station,0,193295,False,0.696,0.621,9,-6.886,0,0.248,0.0802,0.0,0.162,0.721,81.944,4,dance,,hot-100
Wind of Change,Scorpions,1,,,1,1,Comeblack,60,308866,False,0.491,0.613,0,-5.567,1,0.0266,0.00511,0.0,0.107,0.175,75.907,4,german,,List of best-selling singles
Without Me,Halsey,11,2019-06-01,2019-06-01,1,1,Without Me,78,201660,True,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,4,dance,,hot-100
Woman,Doja Cat,34,2022-01-01,2022-07-02,2,1,Planet Her,88,172626,True,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,4,dance,,hot-100
Wonderful Christmastime,Paul McCartney,26,2021-01-02,2024-01-06,4,1,Holidays Are Coming,0,225933,False,0.672,0.601,11,-6.469,1,0.0279,0.128,0.0,0.0824,0.763,94.699,4,folk,,hot-100
Worth It,Fifth Harmony,17,2015-06-06,2015-06-06,1,1,Worth It,64,185256,False,0.858,0.78,8,-3.739,1,0.0738,0.0478,5.72e-05,0.133,0.602,99.984,4,dance,,hot-100
YMCA,Village People,9,,,1,1,Can't Stop the Music (Original Soundtrack 1980),66,202573,False,0.742,0.696,6,-7.871,1,0.0735,0.19,0.0,0.151,0.84,126.432,3,disco,,List of best-selling singles
"Yes Sir, I Can Boogie",Baccara,12,,,1,1,The Collection & Tracklisting,63,273866,False,0.454,0.769,2,-7.653,1,0.0814,0.127,3.23e-06,0.175,0.491,122.531,4,disco,,List of best-selling singles
Yet To Come,BTS,68,2022-07-02,2022-07-02,1,1,Proof,85,193593,False,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,4,k-pop,,hot-100
Yo Perreo Sola,Bad Bunny,68,2020-06-06,2020-06-06,1,1,YHLQMDLG,79,172127,False,0.86,0.758,11,-5.16,1,0.0695,0.021,6.54e-05,0.344,0.453,97.014,4,latino,,hot-100
You Proof,Morgan Wallen,20,2022-07-02,2023-07-01,3,1,You Proof,86,157477,False,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,4,country,,hot-100
You Shook Me All Night Long,AC/DC,20,,,1,1,Back In Black,81,210173,False,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4,hard-rock,,List of best-selling singles
You're Still The One,Shania Twain,94,,,1,1,Los Clásicos del Pop 90s,3,212560,False,0.558,0.54,3,-7.2,1,0.0305,0.501,0.0,0.252,0.654,133.774,4,country,,Greatest of All Time Hot 100 Singles
Zombie,Bad Wolves,85,2018-06-02,2018-06-02,1,1,Zombie,69,254805,False,0.448,0.826,2,-3.244,0,0.0319,0.00756,0.0,0.117,0.19,77.093,4,alternative,,hot-100
abcdefu,GAYLE,27,2022-01-01,2022-01-01,1,1,abcdefu,86,168601,True,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.367,0.415,121.932,4,alternative,,hot-100
bad guy,Billie Eilish,1,2019-06-01,2019-06-01,3,2,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",84,194087,False,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4,electro,,List of best-selling singles
"break up with your girlfriend, i'm bored",Ariana Grande,20,2019-06-01,2019-06-01,1,1,"thank u, next",78,190440,True,0.726,0.554,5,-5.29,0,0.0917,0.0421,0.0,0.106,0.335,169.999,4,dance,,hot-100
bury a friend,Billie Eilish,55,2019-06-01,2019-06-01,1,1,Halloween Songs | Witches Hour,5,193143,False,0.887,0.388,8,-14.505,1,0.349,0.739,0.143,0.106,0.205,120.035,4,electro,,hot-100
death bed (coffee for your head),Powfu;beabadoobee,26,2020-06-06,2020-06-06,1,1,death bed (coffee for your head),83,173333,False,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,sad,,hot-100
do re mi,blackbear,99,2017-06-03,2017-06-03,1,1,digital druglord,73,212027,True,0.745,0.593,8,-6.35,1,0.0524,0.00522,5.06e-06,0.123,0.17,111.001,3,electro,,hot-100
drivers license,Olivia Rodrigo,17,,,1,1,SOUR,88,242013,True,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,4,pop,,List of best-selling singles
everything i wanted,Billie Eilish,35,2020-06-06,2020-06-06,1,1,everything i wanted,86,245425,False,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4,electro,,hot-100
golden hour,JVKE,49,2023-01-07,2023-01-07,1,1,this is what ____ feels like (Vol. 1-4),81,209259,False,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,3,indie-pop,,hot-100
good 4 u,Olivia Rodrigo,23,2022-01-01,2022-01-01,2,2,SOUR,88,178146,True,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4,pop,,List of best-selling singles
goosebumps,Travis Scott,37,2017-06-03,2017-06-03,1,1,Birds In The Trap Sing McKnight,84,243836,True,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,4,hip-hop,,hot-100
hot girl bummer,blackbear,43,2020-06-06,2020-06-06,1,1,everything means nothing,80,188343,True,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,1,electro,,hot-100
ily (i love you baby),Surf Mesa;Emilee,100,2020-06-06,2020-06-06,1,1,pov: it's 2020,0,181071,False,0.667,0.799,11,-7.318,0,0.0812,0.0589,0.0119,0.362,0.288,112.054,4,house,,hot-100
no tears left to cry,Ariana Grande,9,2018-06-02,2018-06-02,1,1,Sweetener,78,205920,False,0.699,0.713,9,-5.507,0,0.0594,0.04,3.11e-06,0.294,0.354,121.993,4,dance,,hot-100
positions,Ariana Grande,14,2021-01-02,2021-01-02,1,1,Positions,85,172324,True,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,4,dance,,hot-100
willow,Taylor Swift,38,2021-01-02,2021-01-02,1,1,Autumn Vibes 2022,0,214706,False,0.392,0.579,7,-9.195,1,0.164,0.835,0.00179,0.145,0.549,80.961,4,pop,,hot-100
you broke me first,Tate McRae,68,2021-01-02,2021-01-02,1,1,you broke me first,84,169265,True,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,4,pop,,hot-100
