track_name,artists,peak_position,first_chart_date,last_chart_date,n_chart_appearances,n_distinct_charts,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,playlistname,peak_charts
Safety Dance,Glee Cast,81,2010-06-05,2010-06-05,1,1,Glee The 3D Concert Movie (Motion Picture Soundtrack),20,154626,False,0.609,0.947,8,-5.823,0,0.234,0.0389,0.0,0.956,0.177,105.012,4,club,,hot-100
Santa Baby,Eartha Kitt,20,2022-01-01,2024-01-06,3,1,Classic Christmas Greatest Hits,0,168949,False,0.467,0.237,5,-13.373,0,0.0542,0.892,3.46e-06,0.148,0.388,101.759,4,jazz,,hot-100
Save Your Tears,The Weeknd,1,,,2,1,After Hours,89,215626,True,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,4,pop,,List of best-selling singles
Say So,Doja Cat,5,2020-06-06,2020-06-06,1,1,Hot Pink,79,237893,True,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,4,dance,,hot-100
Say You Won't Let Go,James Arthur,11,2017-06-03,2017-06-03,1,1,Back from the Edge,85,211466,False,0.358,0.557,10,-7.398,1,0.059,0.695,0.0,0.0902,0.494,85.043,4,pop,,hot-100
Scars To Your Beautiful,Alessia Cara,41,2017-06-03,2017-06-03,1,1,Know-It-All (Deluxe),74,230226,False,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,4,dance,,hot-100
See You Again,Wiz Khalifa;Charlie Puth,1,2015-06-06,2015-06-06,3,2,Give You Love - Cozy Hits,2,229525,False,0.69,0.48,10,-7.503,1,0.0816,0.369,0.0,0.0649,0.286,80.025,4,dance,,List of best-selling singles
September,"Earth, Wind & Fire",22,,,1,1,"The Best Of Earth, Wind & Fire Vol. 1",83,215093,False,0.697,0.832,9,-7.264,1,0.0298,0.168,0.00131,0.269,0.979,125.926,4,disco,Phunk,List of best-selling singles
Set Fire to the Rain,Adele,35,2012-06-02,2012-06-02,1,1,21,80,242973,False,0.603,0.67,2,-3.882,0,0.0249,0.00408,1.68e-06,0.112,0.446,107.993,4,british,Set Fire to the Rain;adele faves,hot-100
Shape of You,Ed Sheeran,1,2017-06-03,2017-06-03,4,3,÷ (Deluxe),86,233712,False,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,pop,,List of best-selling singles
She Had Me At Heads Carolina,Cole Swindell,76,2022-07-02,2022-07-02,1,1,Stereotype,82,206106,False,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,4,country,,hot-100
Shivers,Ed Sheeran,23,2022-01-01,2022-07-02,2,1,Today's Party Hits,0,207853,False,0.788,0.859,2,-2.724,1,0.0856,0.281,0.0,0.0424,0.822,141.02,4,pop,,hot-100
Shut Up and Dance,WALK THE MOON,4,2015-06-06,2015-06-06,1,1,TALKING IS HARD,83,199080,False,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,4,alt-rock,,hot-100
Singles You Up,Jordan Davis,78,2018-06-02,2018-06-02,1,1,Mientras hago aromaterapia,0,182693,False,0.634,0.903,7,-3.588,1,0.0323,0.0465,0.0,0.255,0.559,100.083,4,country,,hot-100
Slide (feat. Frank Ocean & Migos),Calvin Harris;Frank Ocean;Migos,25,2017-06-03,2017-06-03,1,1,Slide (feat. Frank Ocean & Migos),72,230813,True,0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,4,electro,,hot-100
Smells Like Teen Spirit,Nirvana,7,,,1,1,Nevermind (Remastered),83,301920,False,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,4,alt-rock,Gitarsanger;Nevermind;Nirvana - Never Mind;Nirvana – Nevermind (Remastered),List of best-selling singles
Smooth (feat. Rob Thomas),Santana;Rob Thomas,3,,,1,1,Supernatural (Remastered),69,294986,False,0.609,0.923,9,-3.908,1,0.0338,0.16,4.73e-06,0.295,0.961,115.996,4,blues,,Greatest of All Time Hot 100 Singles
So Good,Halsey,87,2022-07-02,2022-07-02,1,1,So Good,77,176058,False,0.576,0.627,3,-4.649,0,0.0449,0.0385,0.0,0.181,0.311,164.998,4,dance,,hot-100
Someone Like You,Adele,18,,,1,1,21,81,285240,False,0.556,0.319,9,-8.251,1,0.0281,0.893,0.0,0.0996,0.294,135.187,4,british,Gitarrlåtar;adele faves,List of best-selling singles
Someone You Loved,Lewis Capaldi,80,2019-06-01,2019-06-01,1,1,Divinely Uninspired To A Hellish Extent,87,182160,False,0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,4,pop,,hot-100
Something in the Orange,Zach Bryan,14,2022-07-02,2023-07-01,3,1,New Country,3,228013,False,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3,country,,hot-100
Sorry,Justin Bieber,29,2016-06-04,2016-06-04,2,2,Fiesta de disfraces vol. II,0,200786,False,0.679,0.748,0,-3.624,0,0.0385,0.0878,0.0,0.299,0.438,100.035,4,pop,,hot-100
Starboy,The Weeknd;Daft Punk,84,2025-11-08,2025-11-08,1,1,Starboy,90,230453,True,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003,4,pop,,billboard-200
Stayin Alive,Bee Gees,66,,,1,1,How Can You Mend A Broken Heart,80,285373,False,0.702,0.773,10,-9.256,0,0.0343,0.0288,0.00871,0.147,0.953,103.564,4,disco,,Greatest of All Time Hot 100 Singles
Stitches,Shawn Mendes,41,2016-06-04,2016-06-04,1,1,Handwritten,80,206880,False,0.746,0.754,1,-6.684,1,0.0676,0.0152,0.0,0.0486,0.746,149.882,4,dance,,hot-100
Story of My Life,One Direction,49,2014-06-07,2014-06-07,1,1,Midnight Memories (Deluxe),83,245493,False,0.6,0.663,3,-5.802,1,0.0477,0.225,0.0,0.119,0.286,121.07,4,pop,Hfdjj;One Direction — Story of My Life,hot-100
Stressed Out,Twenty One Pilots,15,2015-06-06,2016-06-04,2,1,Blurryface,85,202333,False,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,4,rock,,hot-100
Sucker,Jonas Brothers,4,2019-06-01,2019-06-01,1,1,Happiness Begins,81,181026,False,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,4,dance,,hot-100
Sugar Sugar,The Archies,1,,,2,2,Everything's Archie,69,167213,False,0.757,0.725,2,-7.259,1,0.0275,0.399,0.0,0.108,0.965,122.439,4,r-n-b,,List of best-selling singles
Summer,Calvin Harris,12,2014-06-07,2014-06-07,1,1,Motion,82,222533,False,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,4,electro,Calvin Harris - Summer,hot-100
Sunday Best,Surfaces,24,2020-06-06,2020-06-06,1,1,Where the Light Is,77,158571,False,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022,4,soul,,hot-100
Super Freaky Girl,Nicki Minaj,51,2023-01-07,2023-01-07,1,1,Super Freaky Girl,92,170977,True,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4,dance,,hot-100
Super Gremlin,Kodak Black,26,2022-01-01,2022-07-02,2,1,"#Multiverse, If the Multiverse Is Real",4,200547,True,0.825,0.414,2,-6.634,1,0.144,0.00265,0.0,0.357,0.106,72.993,4,hip-hop,,hot-100
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo;Nicki Minaj;Ty Dolla $ign,36,2017-06-03,2017-06-03,1,1,Swalla (feat. Nicki Minaj & Ty Dolla $ign),76,216408,True,0.696,0.817,1,-3.862,1,0.109,0.075,0.0,0.187,0.782,98.064,4,dance,,hot-100
Sweet but Psycho,Ava Max,10,2019-06-01,2019-06-01,1,1,Heaven & Hell,81,187436,False,0.72,0.706,1,-4.719,1,0.0473,0.0684,0.0,0.166,0.62,133.002,4,dance,,hot-100
THATS WHAT I WANT,Lil Nas X,37,2022-01-01,2022-07-02,2,1,MONTERO,87,143901,True,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.981,4,hip-hop,,hot-100
Take Me Home for Christmas,Dan + Shay,48,2021-01-02,2021-01-02,1,1,Country Christmas Time,1,203880,False,0.694,0.769,6,-4.665,1,0.0325,0.163,0.0,0.0976,0.663,93.033,4,country,,hot-100
Take Me To Church,Hozier,48,2015-06-06,2015-06-06,1,1,Hozier,83,241688,False,0.566,0.664,4,-5.303,0,0.0464,0.634,0.0,0.116,0.437,128.945,4,singer-songwriter,nya låtar,hot-100
Take My Name,Parmalee,43,2022-07-02,2022-07-02,1,1,For You,33,157906,False,0.559,0.66,7,-4.143,1,0.0512,0.222,0.0,0.193,0.574,163.957,4,country,,hot-100
Talking Body,Tove Lo,13,2015-06-06,2015-06-06,1,1,Queen Of The Clouds,67,238426,True,0.736,0.761,4,-5.449,0,0.0338,0.0966,0.0,0.0823,0.114,119.999,4,electro,Tove Lo - Talking Body,hot-100
Tennessee Orange,Megan Moroney,43,2023-07-01,2023-07-01,1,1,Tennessee Orange,78,223119,False,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,3,country,,hot-100
Tequila,Dan + Shay,44,2018-06-02,2018-06-02,1,1,Dan + Shay,72,196746,False,0.489,0.581,11,-5.731,1,0.0281,0.0312,0.0,0.132,0.494,86.016,4,country,,hot-100
Thank God,Kane Brown;Katelyn Brown,50,2023-01-07,2023-07-01,2,1,Different Man,78,174560,False,0.738,0.455,3,-8.735,1,0.0352,0.695,0.0,0.107,0.441,99.945,4,country,,hot-100
That's What I Like,Bruno Mars,2,2017-06-03,2017-06-03,1,1,24K Magic,83,206693,False,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,4,dance,,hot-100
The Bones,Maren Morris,13,2020-06-06,2020-06-06,1,1,GIRL,75,197293,False,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.004,4,country,,hot-100
The Cave,Mumford & Sons,76,2011-06-04,2011-06-04,1,1,Sigh No More,62,215626,False,0.592,0.499,4,-9.463,1,0.0375,0.0536,4.52e-05,0.113,0.346,141.937,4,folk,Grammy's Awards;The Cave,hot-100
The Christmas Song (Merry Christmas To You),Nat King Cole,9,2021-01-02,2024-01-06,4,1,World's Best Christmas Playlist,1,192160,False,0.32,0.21,6,-15.231,1,0.0345,0.92,8.01e-05,0.138,0.208,73.196,5,jazz,,hot-100
The Cure,Lady Gaga,53,2017-06-03,2017-06-03,1,1,Concierto en la ducha,0,211363,False,0.696,0.506,8,-4.863,1,0.0325,0.0799,0.0,0.0893,0.516,100.003,4,dance,,hot-100
The Edge Of Glory,Lady Gaga,19,2011-06-04,2011-06-04,1,1,Workout Hits 2023,3,320626,False,0.583,0.766,9,-6.47,1,0.0408,0.000348,0.0125,0.108,0.395,127.95,4,dance,,hot-100
The First Noel,Gabby Barrett,78,2021-01-02,2021-01-02,1,1,Country Christmas Time,0,261303,False,0.458,0.351,10,-6.049,1,0.0244,0.696,0.0,0.143,0.102,79.993,3,country,,hot-100
The Kind of Love We Make,Luke Combs,18,2022-07-02,2022-07-02,1,1,The Kind of Love We Make,82,224426,False,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,4,country,,hot-100
The Sound of Silence,Disturbed,66,2016-06-04,2016-06-04,1,1,Immortalized,41,248466,False,0.322,0.28,6,-9.367,0,0.0281,0.468,1.1e-06,0.102,0.175,85.794,4,alternative,,hot-100
The Twist,Chubby Checker,2,,,1,1,Dancin' Party: The Chubby Checker Collection (1960-1966),62,155040,False,0.571,0.618,4,-5.682,1,0.0371,0.18,2.69e-06,0.178,0.852,156.892,4,rock-n-roll,,Greatest of All Time Hot 100 Singles
There's Nothing Holdin' Me Back,Shawn Mendes,32,2017-06-03,2017-06-03,1,1,Illuminate (Deluxe),86,199440,False,0.866,0.813,11,-4.063,0,0.0554,0.38,0.0,0.0779,0.969,121.998,4,dance,,hot-100
Therefore I Am,Billie Eilish,42,2021-01-02,2021-01-02,1,1,pov: it's 2021,2,174321,False,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4,electro,,hot-100
This Afternoon,Nickelback,46,2010-06-05,2010-06-05,1,1,Dark Horse,60,273493,False,0.507,0.875,7,-7.697,1,0.0389,0.00257,0.0,0.346,0.647,160.079,4,grunge,,hot-100
This Is What You Came For,Calvin Harris;Rihanna,12,2016-06-04,2016-06-04,1,1,This Is What You Came For,81,222160,False,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,4,dance,,hot-100
Thousand Miles,The Kid LAROI,49,2022-07-02,2022-07-02,1,1,Thousand Miles,81,164781,True,0.376,0.657,7,-4.658,1,0.0768,0.0858,0.0,0.0884,0.203,80.565,4,hip-hop,,hot-100
Thriller,Michael Jackson,10,2025-11-08,2025-11-08,3,3,Scream,70,358053,False,0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427,4,soul,,List of best-selling singles
Thunder,Imagine Dragons,94,2017-06-03,2017-06-03,1,1,Evolve,85,187146,False,0.605,0.822,0,-4.833,1,0.0438,0.00671,0.134,0.147,0.288,167.997,4,rock,,hot-100
