,popularity,h_track,arousal_z,catharsis_score,happiness_from_lyrics,audio_valence_raw,energy,danceability,tempo,valence,loudness,acousticness,instrumentalness,speechiness,liveness,duration_ms,explicit_int,position
popularity,1.0,0.03508512915091197,0.08567184999542862,0.040996168959558814,0.02480459671382921,0.08987759416004258,-0.036525645376116384,0.22787691723131664,-0.0361634857174649,0.09542729291565732,0.14450041045777287,0.0005631819110274299,-0.19348813633389117,-0.011769140614053947,-0.0660123239661943,-0.032991348030557,0.13919543850769037,0.1729656627093292
h_track,0.03508512915091197,1.0,0.16814359709956975,-0.688306711926529,0.271214895218849,0.6149527177178824,0.043336933784638314,0.252686096969478,-0.030506971354670148,0.5928469634742722,0.05102643371171243,0.11729742538549143,-0.1311840246865346,-0.055468376723511154,-0.03445292309316707,-0.1292987499480059,-0.18451042446315424,-0.01873466356899558
arousal_z,0.08567184999542862,0.16814359709956975,1.0,0.5272288722620582,-0.10735874951684672,0.401797832409526,0.6127453983499651,0.42912752172350055,0.6177472442396721,0.4329081930161285,0.5156672788773897,-0.381947805385056,-0.11306976508461072,0.3672920287750669,0.021515919866589236,-0.08744654462924766,0.12479314876906303,-0.034470869621467226
catharsis_score,0.040996168959558814,-0.688306711926529,0.5272288722620582,1.0,-0.3051036633904737,-0.21856649883184445,0.4049568379093386,0.11332217966228755,0.450134794690895,-0.17770612237286587,0.3275740024868851,-0.3804316827487894,0.007024450431571667,0.2997754702395924,0.056727078340029824,0.02377099963517988,0.24737296337836365,0.006905226665223316
happiness_from_lyrics,0.02480459671382921,0.271214895218849,-0.10735874951684672,-0.3051036633904737,1.0,0.04078454147171483,-0.05758274742425144,-0.0910517492882918,-0.02869203469494015,0.02150245991653741,-0.032703928373688886,0.03950110684033843,-0.00013096965897181325,-0.2402301547961107,-0.038601277431518664,0.06538999307030684,-0.235473830191043,0.14055707764239062
audio_valence_raw,0.08987759416004258,0.6149527177178824,0.401797832409526,-0.21856649883184445,0.04078454147171483,1.0,0.25203832062625053,0.39481404074429877,0.05070233015665482,0.9733804559577296,0.1906514000230582,-0.008731250176006589,-0.20689143053491743,0.07046999765577601,0.022933479109914376,-0.1777094573689463,-0.07005592903181163,-0.0041612482300757885
energy,-0.036525645376116384,0.043336933784638314,0.6127453983499651,0.4049568379093386,-0.05758274742425144,0.25203832062625053,1.0,-0.07181993763612039,0.18659853437800433,0.272590612457214,0.7215392770311839,-0.645459385175577,-0.024296460898068268,0.3027357880194903,0.1556920539542494,0.04825707899148614,-0.022445972013418268,0.0696544700186598
danceability,0.22787691723131664,0.252686096969478,0.42912752172350055,0.11332217966228755,-0.0910517492882918,0.39481404074429877,-0.07181993763612039,1.0,-0.11578557622705836,0.4326985705278239,0.04536558026153691,0.10923045684052098,-0.17422047177917455,0.22282462028546987,-0.10674555960598661,-0.20651684566506193,0.227902236785918,-0.08279586710585447
tempo,-0.0361634857174649,-0.030506971354670148,0.6177472442396721,0.450134794690895,-0.02869203469494015,0.05070233015665482,0.18659853437800433,-0.11578557622705836,1.0,0.048663316270373055,0.13949034850386477,-0.16274474919760604,0.0036969595908556583,0.11383523476717294,0.009015879145709671,0.011955034361534667,-0.0013415904680682859,-0.05010330301595912
valence,0.09542729291565732,0.5928469634742722,0.4329081930161285,-0.17770612237286587,0.02150245991653741,0.9733804559577296,0.272590612457214,0.4326985705278239,0.048663316270373055,1.0,0.20674271618429893,-0.024887180586100656,-0.19401113695385663,0.10258743827864839,0.03012548743510223,-0.17877205550967362,-0.04902152654798729,-0.013584228560451429
loudness,0.14450041045777287,0.05102643371171243,0.5156672788773897,0.3275740024868851,-0.032703928373688886,0.1906514000230582,0.7215392770311839,0.04536558026153691,0.13949034850386477,0.20674271618429893,1.0,-0.46517308184144524,-0.2568457504224161,0.2379509552942119,0.07653294044372222,-0.008437396505680999,0.025325191266462915,0.04580189006031644
acousticness,0.0005631819110274299,0.11729742538549143,-0.381947805385056,-0.3804316827487894,0.03950110684033843,-0.008731250176006589,-0.645459385175577,0.10923045684052098,-0.16274474919760604,-0.024887180586100656,-0.46517308184144524,1.0,-0.10844133914416787,-0.16390039757897382,-0.05213999797462762,-0.10462478727116459,-0.03532986664981898,-0.12058849051001436
instrumentalness,-0.19348813633389117,-0.1311840246865346,-0.11306976508461072,0.007024450431571667,-0.00013096965897181325,-0.20689143053491743,-0.024296460898068268,-0.17422047177917455,0.0036969595908556583,-0.19401113695385663,-0.2568457504224161,-0.10844133914416787,1.0,-0.10230658871096608,-0.01932224404620539,0.13310434079982703,-0.09668777261285086,0.013557931059389938
speechiness,-0.011769140614053947,-0.055468376723511154,0.3672920287750669,0.2997754702395924,-0.2402301547961107,0.07046999765577601,0.3027357880194903,0.22282462028546987,0.11383523476717294,0.10258743827864839,0.2379509552942119,-0.16390039757897382,-0.10230658871096608,1.0,0.02336806108835514,-0.2199335419400983,0.3319717803129474,-0.07536012399267629
liveness,-0.0660123239661943,-0.03445292309316707,0.021515919866589236,0.056727078340029824,-0.038601277431518664,0.022933479109914376,0.1556920539542494,-0.10674555960598661,0.009015879145709671,0.03012548743510223,0.07653294044372222,-0.05213999797462762,-0.01932224404620539,0.02336806108835514,1.0,-0.008851715625501817,-0.002937560526227407,4.723382717955014e-05
